# example/nonlinear.csv: the non-linear counterpart of linearr's train.csv.
#
# SYNTHETIC and deliberately NOT linear. Generated by example/mknonlinear.c, whose
# header states the generating function in full. Two of its terms are invisible to a
# straight line: a dose response that saturates, and an interaction that appears only
# in patients over 60.
#
# The noise is N(0,1) by construction, so an RMSE of 1.0 on held-out rows is the best
# any model can do and both fitters can be scored against that floor. Nothing here is
# medical: the numbers are invented and fitted to nothing.
group,los,dose,age
001,9.4553,1.1063,63.13
001,16.5914,6.8577,55.62
001,7.2313,0.6858,70.88
001,15.1304,5.5636,34.68
001,15.1383,2.8464,83.89
001,15.9840,3.5508,75.64
001,6.1601,0.3491,50.85
001,20.6041,7.8915,82.17
001,7.5614,1.0855,20.07
001,17.0502,5.4142,39.69
001,13.1532,2.3888,71.23
001,18.6741,6.6730,61.58
001,18.3852,6.8646,44.16
001,14.7312,3.6884,36.43
001,21.0242,9.8874,62.90
001,9.3236,1.2269,60.14
001,17.8670,9.0957,60.16
001,16.0316,6.6336,47.32
001,17.0461,4.6396,24.76
001,16.4394,5.4282,35.85
001,15.8186,6.2611,55.65
001,16.1278,5.3945,34.38
001,8.8739,1.2469,20.76
001,16.9929,7.9970,54.12
001,16.6388,2.1179,79.86
001,14.1972,2.3771,64.35
001,9.9524,1.5264,23.41
001,19.4909,6.9020,43.42
001,18.6720,9.2369,54.58
001,20.5802,9.6863,76.63
001,14.1413,5.1668,36.06
001,17.4310,3.4048,89.20
001,16.7895,4.4251,81.94
001,10.9256,1.2560,57.49
001,16.6722,5.5972,51.43
001,20.3555,9.1370,81.77
001,20.1954,9.9028,75.89
001,18.9863,6.9323,79.41
001,6.5700,0.3136,75.53
001,17.4571,5.5344,74.30
001,17.7152,4.8975,84.93
001,15.8330,5.6122,23.53
001,16.2077,4.9337,61.10
001,17.6131,9.7792,47.20
001,14.2049,2.9606,60.49
001,9.6783,1.8920,26.28
001,18.8653,6.3996,75.25
001,6.6282,0.7407,60.14
001,15.3929,2.8079,53.41
001,20.5699,9.8352,87.37
001,8.3415,0.9254,83.53
001,15.9638,4.9071,41.75
001,8.1738,1.0230,54.48
001,14.9408,5.7675,22.20
001,16.2244,6.4519,30.70
001,6.5113,0.5927,20.59
001,16.8902,4.7697,68.33
001,16.6937,8.2116,31.79
001,12.8525,2.6395,63.15
001,12.7324,2.4576,39.14
001,17.9425,3.2382,88.73
001,6.1694,0.2169,58.43
001,15.8470,4.8779,53.85
001,13.8935,2.1472,47.69
001,17.3921,5.4189,65.69
001,16.4923,8.0773,52.00
001,20.5305,7.6974,76.14
001,3.3789,0.1125,41.01
001,18.9385,8.7357,44.15
001,18.6305,7.4533,54.35
001,18.6746,7.5310,59.90
001,10.2290,0.8699,39.38
001,8.9062,0.8946,51.65
001,16.4043,4.0969,72.52
001,14.9575,7.3703,39.16
001,13.4936,3.8457,44.89
001,4.4621,0.3112,25.92
001,14.4608,2.9191,54.97
001,8.4493,0.9237,48.74
001,6.6131,0.5977,65.04
001,16.1876,8.3859,55.13
001,17.1883,5.9358,37.85
001,8.2700,0.3098,73.46
001,9.4838,1.5669,33.59
001,12.0815,3.3881,25.16
001,17.3489,4.5877,88.53
001,19.3336,6.0771,75.59
001,17.8174,6.7912,82.16
001,14.0026,1.7978,89.69
001,15.8742,8.2946,48.71
001,3.9103,0.1682,48.62
001,19.5726,6.2890,82.85
001,15.4314,4.8455,64.22
001,18.1271,8.5340,33.91
001,13.0029,1.8960,70.63
001,11.6933,1.4674,67.57
001,14.4745,4.7894,27.75
001,20.1208,8.0122,63.29
001,19.3973,9.9478,75.90
001,19.5950,8.0316,79.34
001,15.9948,7.3006,38.87
001,18.1432,5.6403,50.08
001,15.0343,8.1079,28.19
001,16.7167,4.8263,56.96
001,15.0584,4.8091,37.58
001,16.5369,7.0860,24.29
001,16.4052,9.5636,45.03
001,17.1422,7.6063,20.74
001,18.3108,8.3554,67.11
001,19.5469,8.0102,70.39
001,15.7634,4.2212,64.18
001,19.7463,9.0433,86.60
001,18.2962,3.4117,84.52
001,16.2039,5.1657,36.79
001,17.6182,8.7433,48.07
001,20.9145,7.1131,85.84
001,19.0914,5.5213,71.92
001,10.6380,2.3824,21.15
001,19.6267,9.5536,62.66
001,17.1443,9.2851,21.62
001,18.8724,4.5324,87.29
001,16.3091,3.3684,74.49
001,21.0087,6.3097,87.36
001,15.7080,4.3934,65.11
001,4.6091,0.2636,27.96
001,7.8447,1.0440,62.81
001,18.7033,6.6578,43.12
001,17.8663,5.6888,41.27
001,11.3399,2.1472,71.66
001,18.0063,9.6186,53.79
001,20.8183,9.0879,74.50
001,16.0352,7.5873,38.41
001,19.9018,9.8629,63.01
001,18.3683,4.7266,86.98
001,15.0467,8.5786,28.65
001,16.0721,4.9656,41.87
001,20.2990,9.1878,58.18
001,13.1606,3.7200,46.02
001,10.2121,0.9556,55.41
001,18.9712,9.7098,66.35
001,15.2149,5.3056,47.95
001,11.1572,0.9709,79.01
001,9.6074,0.9379,76.21
001,19.0238,8.2733,42.25
001,14.1008,2.0547,72.32
001,11.0517,1.0658,84.86
001,18.0976,7.8566,59.56
001,19.7684,5.5468,82.27
001,18.9416,6.6979,69.86
001,16.6634,8.2531,39.38
001,15.2201,2.3709,75.16
001,21.2792,7.4144,87.45
001,15.4840,7.7808,35.23
001,9.9789,2.3344,27.64
001,19.4892,7.1177,76.90
001,14.2059,4.0436,45.17
001,15.5861,7.2517,32.11
001,12.7690,3.4858,67.21
001,16.9564,5.0971,57.29
001,16.3027,5.2103,31.96
001,7.3763,0.6349,69.15
001,16.1943,8.3487,36.74
001,3.6743,0.0118,45.06
001,17.3611,7.6237,69.28
001,14.0146,2.1204,87.58
001,10.3302,1.5773,24.69
001,12.8164,3.4140,20.70
001,15.5321,3.7900,57.27
001,15.7658,7.1830,31.72
001,17.8223,9.1062,58.56
001,14.0510,2.8925,59.74
001,6.2234,0.2220,57.15
001,15.1673,4.3379,32.71
001,16.0484,6.6840,47.35
001,12.2763,3.2501,26.58
001,17.2523,5.2642,38.89
001,7.1386,0.4329,73.63
001,18.0295,6.0476,62.52
001,18.4098,6.0731,74.86
001,19.3660,9.2496,64.11
001,20.9674,7.9909,82.10
001,16.3456,5.6291,65.27
001,16.2937,7.6081,34.58
001,18.5275,5.7972,75.94
001,14.9324,3.5166,54.11
001,18.7750,6.9844,70.20
001,17.9372,8.9958,47.32
001,16.0954,4.4946,33.88
001,7.3490,0.3897,53.86
001,10.4386,1.7036,32.91
001,16.9206,6.8711,62.73
001,14.7928,1.5983,83.13
001,16.5780,9.1138,58.67
001,16.0939,6.4136,41.93
001,12.7589,2.5543,56.49
001,14.7379,7.7219,31.85
001,16.2213,7.1329,31.36
001,15.7563,7.4759,24.97
001,18.0373,9.6839,61.07
001,16.1608,9.4000,38.01
001,10.4630,2.2463,34.55
001,12.5627,2.4148,22.89
001,17.3402,7.9276,62.61
001,15.1817,4.6425,21.49
001,18.5557,7.9303,69.65
001,16.8331,8.2460,46.97
001,14.9533,2.9317,45.42
001,16.4712,9.9681,61.43
001,17.1016,4.1098,86.53
001,14.6567,3.7629,35.43
001,9.5706,1.4092,33.54
001,15.6810,3.9901,34.45
001,12.4997,3.0985,46.05
001,10.4319,2.4462,27.92
001,18.2737,4.4294,80.14
001,18.2876,9.9709,49.21
001,19.1533,8.6707,49.99
001,16.3094,5.2666,53.03
001,16.3728,7.3876,23.47
001,18.8912,6.9540,58.82
001,15.7715,3.6188,67.72
001,17.7767,4.3900,71.88
001,6.7689,0.3111,57.98
001,17.4366,4.5385,66.53
001,9.7227,1.1355,52.36
001,15.7039,2.9110,52.12
001,8.5629,1.6915,35.90
001,15.0641,3.8358,24.15
001,17.2844,9.0821,48.35
001,19.4494,6.4942,79.09
001,15.8074,5.7042,69.92
001,15.4193,4.3925,24.47
001,18.0453,5.3839,69.72
001,17.5230,8.6390,56.79
001,16.5289,9.5437,38.29
001,15.5046,3.5504,39.02
001,20.0484,8.5407,49.75
001,18.2901,9.3535,53.95
001,17.3743,5.7367,49.00
001,16.8225,8.7623,57.59
001,17.3942,7.3780,37.00
001,20.8935,7.1434,82.86
001,17.6838,6.5864,42.70
001,17.0583,7.7942,34.18
001,13.5044,4.6479,22.05
001,15.5102,9.6860,21.89
001,15.7508,5.2147,29.24
001,15.4637,5.9761,28.25
001,15.3211,5.8264,38.35
001,11.6559,1.4558,89.06
001,13.0982,2.0026,83.45
001,15.3409,6.5959,38.01
001,20.6493,8.1375,87.10
001,18.6509,9.5073,55.81
001,15.2619,8.4732,40.92
001,17.7621,5.1635,68.45
001,19.4814,6.2806,63.23
001,15.8626,6.7490,39.37
001,16.1316,5.3595,31.01
001,16.4946,9.8754,31.20
001,14.0542,5.5265,20.38
001,17.6696,5.7378,67.70
001,17.5937,9.0283,44.99
001,21.0834,9.9069,79.79
001,7.9629,0.6210,80.29
001,15.4136,4.6642,46.12
001,15.6531,3.1451,85.32
001,17.2048,7.8003,37.05
001,11.8601,2.3583,25.98
001,18.3012,8.3792,67.64
001,9.7255,1.5414,52.78
001,9.1924,1.6895,27.82
001,15.0876,4.9949,24.35
001,17.1629,5.4265,33.35
001,16.4894,5.0121,32.42
001,16.8547,4.9442,53.16
001,18.7213,9.4635,46.13
001,21.8343,8.0105,89.30
001,19.3967,9.3474,70.63
001,13.8376,3.4389,45.06
001,17.5598,9.5061,60.61
001,17.1575,6.9076,25.41
001,17.3586,4.8928,47.07
